,no,label,title,href
0,19.001,Conseil des Etats - 13.06.2019-08:15 - Objet du Conseil fédéral,Rapport de gestion du Conseil fédéral 2018,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46335
1,19.002,Conseil des Etats - 13.06.2019-08:15 - Objet du Conseil fédéral,Rapport de gestion 2018 du Tribunal fédéral,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46334
2,18.048,Conseil des Etats - 04.06.2019-08:15 - Objet du Conseil fédéral,Transfèrement des personnes condamnées. Amendement au Protocole additionnel,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46138
3,18.3459,Conseil des Etats - 21.03.2019-08:15 - Motion - Vonlanthen Beat,Promotion de modèles d'enseignement dans deux langues nationales. Contribution de la Confédération,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45817
4,18.313,Conseil des Etats - 20.03.2019-08:30 - Initiative cantonale - Genève,Donner aux cantons les moyens de réaliser l'égalité entre femmes et hommes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45785
5,19.004,Conseil des Etats - 20.03.2019-08:30 - Objet du Parlement,Rapport annuel 2018 des CdG et de la DélCdG,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45780
6,16.077,Conseil des Etats - 12.03.2019-08:15 - Objet du Conseil fédéral,CO. Droit de la société anonyme,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45539
7,17.4241,Conseil des Etats - 12.12.2018-08:30 - Motion - Sommaruga Carlo,Signer et ratifier le traité sur l'interdiction des armes nucléaires,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44998
8,17.019,Conseil des Etats - 10.12.2018-15:15 - Objet du Conseil fédéral,Loi sur les marchés publics. Révision totale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44953
9,18.3935,Conseil des Etats - 29.11.2018-08:15 - Motion;Postulat - Germann Hannes,La Suisse ne doit pas signer le pacte de l'ONU sur les migrations,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44748
10,16.3848,Conseil des Etats - 28.11.2018-08:15 - Motion - Candinas Martin,Distribution du courrier sur l'ensemble du territoire au plus tard à la mi-journée,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44734
11,13.407,Conseil des Etats - 28.11.2018-08:15 - Initiative parlementaire - Reynard Mathias,Lutter contre les discriminations basées sur l'orientation sexuelle,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44732
12,17.047,Conseil des Etats - 28.11.2018-08:15 - Objet du Conseil fédéral,Loi sur l'égalité. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44730
13,18.001,Conseil des Etats - 27.09.2018-08:15 - Objet du Conseil fédéral,Rapport de gestion du Conseil fédéral 2017,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44434
14,16.477,Conseil des Etats - 26.09.2018-08:45 - Initiative parlementaire - Addor Jean-Luc,Renforcer la lutte contre les réseaux de passeurs,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44384
15,15.4126,Conseil des Etats - 19.09.2018-08:15 - Motion;Pétition - Geissbühler Andrea Martina,Activer un retour sans risque de persécution pour les Erythréens,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44089
16,17.497,"Conseil des Etats - 18.09.2018-08:15 - Initiative parlementaire - Commission de la science, de l'éducation et de la culture-Conseil national",Aides financières à l'accueil extrafamilial pour enfants. Prolonger le programme d'impulsion de la Confédération,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44054
