,no,label,title,href
0,18.060,Conseil national - 11.06.2019-14:30 - Objet du Conseil fédéral,Loi sur le contrôle des biens. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46252
1,18.086,Conseil national - 05.06.2019-15:00 - Objet du Conseil fédéral,Sécurité sociale. Convention avec le Kosovo,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46192
2,18.029,Conseil national - 05.06.2019-15:00 - Objet du Conseil fédéral,Loi sur la partie générale du droit des assurances sociales (LPGA). Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46196
3,15.083,Conseil national - 05.06.2019-15:00 - Objet du Conseil fédéral,LAMal. Renforcement de la qualité et de l’économicité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46191
4,18.4096,Conseil national - 14.03.2019-08:00 - Motion - Commission de la sécurité sociale et de la santé publique-Conseil national,Assurance-maladie. Fixer la franchise à 500 francs,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45599
5,18.029,Conseil national - 14.03.2019-08:00 - Objet du Conseil fédéral,Loi sur la partie générale du droit des assurances sociales (LPGA). Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45595
6,18.4096,Conseil national - 13.03.2019-15:00 - Motion - Commission de la sécurité sociale et de la santé publique-Conseil national,Assurance-maladie. Fixer la franchise à 500 francs,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45586
7,17.022,Conseil national - 07.03.2019-08:00 - Objet du Conseil fédéral,LAI. Modification (Développement continu de l’AI),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45385
8,17.022,Conseil national - 06.03.2019-15:00 - Objet du Conseil fédéral,LAI. Modification (Développement continu de l’AI),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45384
9,18.047,Conseil national - 12.12.2018-15:00 - Objet du Conseil fédéral,LAMal. Admission des fournisseurs de prestations,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45004
10,18.9007,Conseil national - 26.09.2018-08:30,"Interpellations urgentes.
Industrie d'armement
et exportations d'armes",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44381
11,18.3710,Conseil national - 19.09.2018-08:00 - Motion - Commission de la sécurité sociale et de la santé publique-Conseil national,Produits figurant sur la LiMA. Prise en compte par les prestataires de soins,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44096
12,18.022,Conseil national - 13.09.2018-08:00 - Objet du Conseil fédéral,Message sur I'armée 2018,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43946
13,17.074,Conseil national - 11.09.2018-08:00 - Objet du Conseil fédéral,Surveillance exercée sur le Service de renseignement de la Confédération. Rapport du Conseil fédéral sur le classement de la motion 15.3498 (CPS-CS),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43918
14,16.065,Conseil national - 10.09.2018-14:30 - Objet du Conseil fédéral,LPC. Modification (Réforme des PC),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43901
15,18.3381,Conseil national - 12.06.2018-08:00 - Postulat - Commission des institutions politiques-Conseil national,Pour un examen global de la problématique des sans-papiers,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43575
16,15.083,Conseil national - 11.06.2018-14:30 - Objet du Conseil fédéral,LAMal. Renforcement de la qualité et de l’économicité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43551
17,18.027,Conseil national - 30.05.2018-15:00 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise de la directive 2017/853 modifiant la directive de l'UE sur les armes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43256
18,18.027,Conseil national - 30.05.2018-08:00 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise de la directive 2017/853 modifiant la directive de l'UE sur les armes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43258
19,16.065,Conseil national - 15.03.2018-15:00 - Objet du Conseil fédéral,LPC. Modification (Réforme des PC),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42933
20,16.065,Conseil national - 14.03.2018-15:00 - Objet du Conseil fédéral,LPC. Modification (Réforme des PC),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42880
21,16.065,Conseil national - 14.03.2018-08:15 - Objet du Conseil fédéral,LPC. Modification (Réforme des PC),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42876
22,17.028,Conseil national - 13.03.2018-08:00 - Objet du Conseil fédéral,Loi sur la sécurité de l‘information,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42833
23,16.479,Conseil national - 12.03.2018-14:30 - Initiative parlementaire - Commission de la sécurité sociale et de la santé publique-Conseil des Etats,Base légale pour la surveillance des assurés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42764
24,16.479,Conseil national - 12.03.2018-14:30 - Initiative parlementaire - Commission de la sécurité sociale et de la santé publique-Conseil des Etats,Base légale pour la surveillance des assurés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42756
25,16.3069,Conseil national - 07.03.2018-15:00 - Motion - Clottu Raymond,Evaluation annuelle de l'économicité des produits médicaux facturés à la charge de l'assurance obligatoire des soins,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42677
26,17.048,Conseil national - 26.02.2018-14:30 - Objet du Conseil fédéral,Analyse génétique humaine. Loi,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42354
27,17.3635,Conseil national - 11.12.2017-14:30 - Postulat - Commission de la sécurité sociale et de la santé publique-Conseil national,Conséquences de la consommation de cigarettes électroniques,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41927
28,17.3633,Conseil national - 11.12.2017-14:30 - Motion - Commission de la sécurité sociale et de la santé publique-Conseil national,Rabais maximal applicable aux franchises à option. Ne pas sanctionner les assurés qui font des choix responsables,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41923
29,17.3508,Conseil national - 07.12.2017-08:00 - Motion - Eder Joachim,Création d'un centre de compétence fédéral pour la cybersécurité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41813
30,17.033,Conseil national - 06.12.2017-08:00 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise du règlement (UE) 2016/1624 relatif au corps européen de garde-frontières et de garde-côtes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41799
31,17.033,Conseil national - 21.09.2017-08:00 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise du règlement (UE) 2016/1624 relatif au corps européen de garde-frontières et de garde-côtes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41021
32,14.417,Conseil national - 14.09.2017-08:00 - Initiative parlementaire - Egerszegi-Obrist Christine,Amender le régime de financement des soins,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40932
33,16.453,Conseil national - 11.09.2017-14:30 - Initiative parlementaire - Bertschy Kathrin,Congé de 14 semaines pour chacun des parents à condition que tous deux travaillent,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40883
34,14.417,Conseil national - 11.09.2017-14:30 - Initiative parlementaire - Egerszegi-Obrist Christine,Amender le régime de financement des soins,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40860
35,17.3006,Conseil national - 15.06.2017-08:00 - Motion - Commission de la politique de sécurité-Conseil national,Modification de la loi sur le service civil,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40573
36,16.079,Conseil national - 08.06.2017-08:00 - Objet du Conseil fédéral,Participation de la Suisse à la KFOR. Prolongation de l'engagement de la Swisscoy,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40379
37,15.087,Conseil national - 07.06.2017-08:00 - Objet du Conseil fédéral,Loi sur les fonds de compensation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40343
38,14.417,Conseil national - 07.06.2017-08:00 - Initiative parlementaire - Egerszegi-Obrist Christine,Amender le régime de financement des soins,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40340
39,15.3803,Conseil national - 01.06.2017-08:00 - Motion - Groupe libéral-radical,Domaine de l'asile. Pas de voyages inopportuns à l'étranger pour les personnes admises en Suisse,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40239
40,17.3001,Conseil national - 16.03.2017-15:00 - Postulat - Commission de la politique de sécurité-Conseil national,Comment remédier au manque d'officiers?,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39802
41,17.3000,Conseil national - 16.03.2017-08:00 - Motion - Commission de la politique de sécurité-Conseil national,Transfert de l'organe d'exécution du service civil vers le DDPS,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39771
42,15.087,Conseil national - 06.03.2017-14:30 - Objet du Conseil fédéral,Loi sur les fonds de compensation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39353
43,16.083,Conseil national - 02.03.2017-08:00 - Objet du Conseil fédéral,Accord de Paris sur le climat. Approbation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39315
44,15.4157,Conseil national - 08.12.2016-08:00 - Motion - Bischofberger Ivo,Assurance obligatoire des soins. Adapter le montant des franchises à l'évolution des coûts,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38824
45,12.470,Conseil national - 08.12.2016-08:00 - Initiative parlementaire - Joder Rudolf,Meilleur soutien pour les enfants gravement malades ou lourdement handicapés qui sont soignés à la maison,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38821
46,15.075,Conseil national - 08.12.2016-08:00 - Objet du Conseil fédéral,Loi sur les produits du tabac,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38819
47,05.464,Conseil national - 30.09.2016-08:00 - Initiative parlementaire - Guisan Yves,Dépistage du cancer,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38391
48,14.088,Conseil national - 26.09.2016-14:30 - Objet du Conseil fédéral,Prévoyance vieillesse 2020. Réforme,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38242
49,16.044,Conseil national - 20.09.2016-08:00 - Objet du Conseil fédéral,Préservation de la valeur de Polycom. Crédit d’ensemble,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38089
50,14.4075,Conseil national - 12.09.2016-14:30 - Motion - Clottu Raymond,La Poste. Distribution du courrier pour tout le monde!,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37872
51,16.3264,Conseil national - 07.06.2016-08:00 - Motion - Commission de la sécurité sociale et de la santé publique-Conseil national,Places de stage dans les cabinets privés et dans les domaines extracliniques,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37361
52,15.417,Conseil national - 31.05.2016-08:00 - Initiative parlementaire - Gilli Yvonne,Modification du système de réduction des primes dans la LAMal,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37256
53,15.405,Conseil national - 31.05.2016-08:00 - Initiative parlementaire - Ruiz Rebecca Ana,Augmentation des allocations familiales,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37247
54,14.429,Conseil national - 30.05.2016-14:30 - Initiative parlementaire - Groupe de l'Union démocratique du Centre,Rentes AVS. Prolongation du délai de cotisation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37219
55,14.415,Conseil national - 27.04.2016-08:00 - Initiative parlementaire - Candinas Martin,Deux semaines de congé-paternité payé par le régime des APG,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37197
56,12.308,Conseil national - 27.04.2016-08:00 - Initiative cantonale - Genève,L'ouverture de nouveaux cabinets médicaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37191
